product_id,product_category
1563890119,Books
1559947608,Books
0671701800,Books
0425132153,Books
0517122707,Books
0345350499,Books
B000002OTL,Music
6302136105,Video
0399134204,Books
0887306667,Books
044022165X,Books
0425107469,Books
0880389052,Books
0446310786,Books
0385040199,Books
B000001FBU,Music
0679731377,Books
0451169514,Books
0316920045,Books
0451175123,Books
0880793589,Books
0783811950,Books
0312932081,Books
0884271153,Books
0887307876,Books
0399128964,Books
0060171928,Books
0440178002,Books
0679416781,Books
0553375636,Books
006091307X,Books
0399103422,Books
0812505085,Books
044651652X,Books
0374266425,Books
0440133688,Books
0345349571,Books
0060916540,Books
0393037010,Books
0345403959,Books
0070212570,Books
0553208845,Books
0393314804,Books
0440211727,Books
0060175184,Books
0679731725,Books
0345909887,Books
0385424736,Books
0061003697,Books
0393312836,Books
0872860175,Books
0812550706,Books
0812548094,Books
0140049975,Books
0312853254,Books
0140013997,Books
067960085X,Books
067942850X,Books
0451160916,Books
0844660736,Books
0807106577,Books
0312857063,Books
0441003257,Books
0848813618,Books
0312853238,Books
0553346687,Books
1878424114,Books
0380713802,Books
1573225517,Books
038072216X,Books
0679736646,Books
0380002930,Books
0679760911,Books
0380715430,Books
0345373243,Books
0385470819,Books
0345406680,Books
0821221841,Books
0425152251,Books
0060925000,Books
1559723505,Books
0140185232,Books
0393039102,Books
0671510991,Books
0694517208,Books
0783815484,Books
0553275569,Books
0060922583,Books
0192815342,Books
0553103547,Books
0679745203,Books
1573220167,Books
006017322X,Books
0201633612,Books
0060920432,Books
0452273331,Books
0451167716,Books
1568495722,Books
0793518326,Books
0553278355,Books
0440217563,Books
0060171936,Books
006097625X,Books
0385302320,Books
0316921173,Books
0805017305,Books
0684874350,Books
0688002307,Books
0060920084,Books
0140379851,Books
0061091669,Books
6301562925,Video DVD
1568490119,Books
0671876813,Books
0452270073,Books
0205191584,Books
0140067477,Books
1559948671,Books
0679441018,Books
0393316041,Books
0385043805,Books
0345350472,Books
0385311400,Books
0312954468,Books
0345389409,Books
0385292244,Books
0684833395,Books
0553565915,Books
0394530411,Books
051788710X,Books
0385121679,Books
1574530011,Books
0553477838,Books
0425129586,Books
0027000303,Books
0696204800,Books
0606027459,Books
039472903X,Books
0312854021,Books
0385482582,Books
0880381736,Books
0307681114,Books
1881273156,Books
0553270435,Books
0517702967,Books
0553473328,Books
0451452739,Books
0451523652,Books
0486650677,Books
0553268120,Books
0553260111,Books
0440131480,Books
0802130208,Books
0553280325,Books
0385486804,Books
0446520950,Books
0440111498,Books
078710017X,Books
0553277472,Books
0804102988,Books
0486211045,Books
0679720200,Books
0060975768,Books
0887306713,Books
0671688782,Books
0440539811,Books
0060920386,Books
0451525884,Books
0070016798,Books
0060174900,Books
0312084986,Books
0440213525,Books
1563523302,Books
0552124753,Books
0887306101,Books
068483605X,Books
0553328255,Books
006016848X,Books
067972768X,Books
0440180295,Books
0553269631,Books
0385176228,Books
0553573411,Books
0345363132,Books
0060926317,Books
0316545856,Books
0345315227,Books
0131103628,Books
1567184855,Books
0671721720,Books
0385472951,Books
1573220485,Books
0899663036,Books
0446343129,Books
0140042393,Books
0312962118,Books
055347698X,Books
0345404998,Books
019282760X,Books
1556154844,Books
0151001820,Books
0156528207,Books
0893860220,Books
0425156842,Books
0679735909,Books
0140072187,Books
0374119171,Books
0670813028,Books
0131101633,Books
089845865X,Books
0385485786,Books
0453008801,Books
0553288105,Books
094113086X,Books
0679405496,Books
0553266306,Books
0024181900,Books
0684803356,Books
0451450523,Books
0394573552,Books
0899666930,Books
0451193881,Books
0394533054,Books
0684102501,Books
0345404475,Books
0899662293,Books
6302798450,Video
0930073193,Books
0670215821,Books
0023305401,Books
1570424632,Books
1559211407,Books
1562827693,Books
0679405372,Books
0385474547,Books
0679735259,Books
0140157352,Books
0887307396,Books
0140135154,Books
0385421982,Books
0385471483,Books
B000002I4S,Music
1878574590,Books
B000002N3N,Music
4789004546,Books
B000002H97,Music
0671867369,Books
6300216268,Video
0606050647,Books
0688052304,Books
0553284347,Books
0345377370,Books
0061053147,Books
067166736X,Books
0671891634,Books
0694516929,Books
0896594289,Books
6300215814,Video
0140195076,Books
039428013X,Books
0553577123,Books
0679452729,Books
0671559850,Books
0136879721,Books
0679745653,Books
0671673009,Books
0380705273,Books
015670160X,Books
0870119435,Books
0316743003,Books
0131103709,Books
0886461251,Books
0395860210,Books
0156482339,Books
0195067142,Books
0449911357,Books
0884271536,Books
0002730162,Books
0930289455,Books
0393039765,Books
0062502182,Books
0380973634,Books
0553472666,Books
0060187557,Books
B0000020C4,Music
0393038912,Books
0688021492,Books
0887307280,Books
0812550757,Books
0452277752,Books
B000002BE9,Music
0553062182,Books
0446364495,Books
0517548232,Books
0930289234,Books
0684800713,Books
0877739587,Books
0590413872,Books
067082187X,Books
0140009345,Books
0679457313,Books
0582084865,Books
0517543052,Books
044651506X,Books
0894808532,Books
9997699629,Books
0062513990,Books
0671004611,Books
0876855583,Books
0380778556,Books
1561007420,Books
0451163532,Books
0812034465,Books
0553573403,Books
0440117658,Books
0713717068,Books
1558820108,Books
0316926345,Books
0451163486,Books
015626224X,Books
0800196341,Video
0804106304,Books
0553278398,Books
0385312083,Books
0876852630,Books
0394505344,Books
0394586077,Books
0451191153,Books
0553293397,Books
0441172717,Books
0449227421,Books
0688152023,Books
086140324X,Books
0716703440,Books
0061002860,Books
0671004107,Books
0399142851,Books
0061002747,Books
0812524586,Books
0517591812,Books
0671799320,Books
068484267X,Books
0395078016,Books
0140143505,Books
0899662439,Books
0787103063,Books
B000002HJD,Music
B000002UB3,Music
B000002UA9,Music
B000002UB6,Music
B000002UAC,Music
B000002UAI,Music
B000002UAF,Music
0394586735,Books
0887308589,Books
0140057242,Books
0679445099,Books
0673999963,Books
0312955006,Books
0061092037,Books
6301967984,Video
155800145X,Books
0446347949,Books
B000002UAO,Music
B000002UAR,Music
0679460063,Books
2070364232,Books
0374119198,Books
0688101364,Books
0140187650,Books
0192123181,Books
1568491581,Books
0385473788,Books
0679429247,Books
067031255X,Books
0671747665,Books
0679722610,Books
0060801263,Books
0786209798,Books
0451191935,Books
0394583892,Books
060600680X,Books
B0000025RI,Music
0385484518,Books
0451163516,Books
0060976624,Books
0553278223,Books
0553377906,Books
1884822312,Books
0553093029,Books
0451183770,Books
038542471X,Books
0899669433,Books
0156141647,Books
0345357116,Books
0671683888,Books
0679442790,Books
0192815792,Books
0679443819,Books
1568953968,Books
1859849296,Books
185984054X,Books
0380730405,Books
